company,label,code
中 科 软,1,430002
绿创设备,0,430004
原子高科,1,430005
华环电子,0,430009
ST现代,0,430010
指 南 针,0,430011
恒业世纪,1,430014
盖 特 佳,0,430015
胜龙科技,0,430016
星昊医药,0,430017
新松佳和,0,430019
海鑫科金,1,430021
五 岳 鑫,0,430022
金和网络,0,430024
北科光大,0,430027
林 克 曼,0,430031
凯英信业,0,430032
彩讯科技,0,430033
鼎普科技,0,430036
华高世纪,0,430039
科 瑞 讯,0,430042
圣 博 润,1,430046
建设数字,0,430048
九 恒 星,1,430051
斯福泰克,0,430052
国学时代,0,430053
达通数据,1,430055
意诚信通,0,430058
中海纪元,0,430059
永邦科技,0,430060
中科国信,1,430062
金山顶尖,0,430064
南北天地,0,430066
维信通,0,430067
天助畅运,0,430069
亿创科技,0,430072
兆信股份,0,430073
德鑫物联,1,430074
中讯四方,1,430075
国基科技,0,430076
道隆软件,1,430077
北京安鹏,0,430079
尚水股份,0,430080
博雅科技,0,430082
中科联众,1,430083
新锐英诚,1,430085
爱迪科森,0,430086
富电绿能,1,430087
天一众合,0,430089
同辉信息,1,430090
东方生态,0,430091
金刚游戏,1,430092
掌上通,0,430093
确安科技,0,430094
航星股份,0,430095
赛德丽,1,430097
理想固网,0,430099
泰诚信,1,430101
天大清源,0,430103
合力思腾,0,430105
爱特泰克,0,430106
土星教育,0,430107
中航讯,1,430109
ST百拓,0,430110
弘祥隆,0,430112
中交远洲,0,430113
中矿华沃,0,430116
航天理想,0,430117
中钰医疗,0,430118
金润科技,1,430120
中控智联,0,430122
速原中天,0,430123
汉唐自远,0,430124
英雄互娱,1,430127
广厦网络,1,430128
卡联科技,1,430130
伟利讯,0,430131
赛孚制药,0,430133
国顺投资,0,430136
润天股份,0,430137
华岭股份,1,430139
新眼光,1,430140
智立医学,0,430145
科能腾达,0,430148
创和通讯,0,430150
思银股份,1,430152
中金网信,0,430153
康辰亚奥,0,430155
腾龙电子,0,430157
北方科诚,0,430158
三泰晟驰,0,430160
光谷信息,0,430161
大医股份,0,430164
一正启源,0,430166
四利通,0,430167
博维仕,0,430168
融智通,1,430169
金易通,0,430170
电信易通,0,430171
瑞达恩,0,430172
科新生物,0,430175
中教股份,1,430176
点点客,1,430177
白虹软件,1,430178
宇昂科技,0,430179
盖娅互娱,0,430181
全网数商,1,430182
北方跃龙,0,430184
东方略,0,430187
奥贝克,0,430188
新瑞理想,0,430190
波尔通信,0,430191
东展科博,0,430192
微传播,1,430193
欧泰克,0,430195
宣爱智能,0,430196
津伦股份,0,430197
微创光电,1,430198
时代地智,0,430200
腾实信,0,430201
星河科技,0,430202
石竹科技,0,430204
亿房网,0,430205
优炫软件,1,430208
乐升股份,0,430213
风格信息,0,430216
一鑫达,0,430218
迈达科技,0,430220
璟泓科技,1,430222
网动科技,0,430224
东软慧聚,1,430227
天房科技,0,430228
绿岸网络,0,430229
ST赛诺达,0,430231
ST桦清,0,430232
大汉三通,0,430237
普华科技,0,430238
信诺达,0,430239
铜牛信息,1,430243
颂大教育,1,430244
奥特美克,1,430245
金日创,0,430247
奥尔斯,0,430248
智网科技,0,430250
光电高斯,0,430251
联宇技术,0,430252
兴竹信息,1,430253
中幼教育,0,430255
卓繁信息,0,430256
易同科技,1,430258
华宿电气,0,430259
易维科技,1,430261
神州云动,0,430262
中舟环保,0,430264
盛世光明,0,430267
恒信启华,0,430268
新网程,0,430269
易点天下,1,430270
瑞灵石油,0,430271
永天科技,0,430273
晟矽微电,1,430276
华安股份,0,430279
锐创信通,0,430285
环宇畜牧,0,430287
威达宇电,0,430288
和隆优化,0,430290
七环电气,0,430294
平安力合,0,430296
金硕信息,0,430297
淘礼网,1,430298
辰光医疗,1,430300
量化科技,0,430303
维珍创意,1,430305
扬讯科技,0,430307
博易股份,0,430310
达美盛,0,430311
国创富盛,0,430313
众联信息,0,430315
巨灵信息,0,430316
天阶生物,1,430323
精英智通,1,430325
元工国际,0,430327
北京希电,0,430328
百林通信,0,430329
捷世智通,1,430330
中环系统,1,430331
安华智能,0,430332
普康迪,0,430333
朗威视讯,0,430337
银音科技,1,430338
ST中搜,0,430339
伟钊科技,0,430340
呈创科技,0,430341
优网科技,0,430343
鼎晖科技,0,430344
地大信息,0,430347
瑞斯福,0,430348
安威士,0,430349
万德智新,1,430350
爱科凯能,0,430351
慧网通达,0,430352
百傲科技,1,430353
雷腾软件,1,430356
ST行悦,0,430357
同济医药,0,430359
财猫网络,0,430361
东电创新,1,430362
力码科,1,430367
明波通信,0,430368
威门药业,1,430369
捷安高科,1,430373
英富森,1,430374
星立方,1,430375
山本光电,0,430378
元亨光电,1,430382
苏大明世,0,430388
中科网络,0,430390
三景科技,0,430393
金帆股份,0,430397
日望电子,0,430400
声威电声,0,430401
吉事达,0,430402
英思科技,0,430403
长合信息,0,430407
帝信科技,1,430408
中电方大,0,430411
地林伟业,0,430416
长城软件,0,430426
飞田通信,0,430427
普滤得,1,430430
中瑞电子,0,430433
万泉河,0,430434
数聚股份,0,430435
英极股份,0,430441
和航科技,0,430448
蓝泰源,0,430449
恒锐科技,0,430453
德联科技,1,430455
三网科技,1,430457
陆海科技,1,430458
视威科技,0,430461
方迪科技,0,430464
深圳行健,0,430467
必控科技,1,430469
哲达科技,0,430470
安泰得,1,430472
网动股份,0,430473
网阔信息,0,430479
辰维科技,0,430480
求实智能,0,430484
普金科技,1,430486
佳信捷,0,430487
东创科技,1,430488
旭龙物联,0,430490
蓝斯股份,0,430491
华博胜讯,0,430494
奥远电子,0,430495
大正医疗,0,430496
嘉网股份,0,430498
中科股份,0,430499
亚奥科技,0,430500
双环电感,0,430503
云飞扬,0,430506
远大教科,0,430511
芯朋微,1,430512
速升装备,0,430514
麟龙股份,1,430515
世安科技,0,430520
量天科技,0,430524
英诺尔,0,430525
丝普兰,0,430526
欧丽信大,0,430528
恒通股份,0,430537
利雅得,0,430542
闽保股份,0,430544
乐彩科技,0,430546
畅想高科,0,430547
大方软件,0,430548
天弘激光,1,430549
亚成微,1,430552
海红技术,0,430553
新华通,0,430559
齐普光电,0,430561
安运科技,0,430562
华宇股份,0,430563
天润科技,0,430564
安尔发,0,430569
蓝星科技,0,430570
科硕科技,0,430571
星奥股份,0,430574
迈科网络,0,430575
泰信电子,0,430576
力龙信息,0,430577
云天软件,0,430580
华菱西厨,0,430582
国贸酝领,0,430583
金瑞科技,0,430585
天松医疗,1,430588
晶宝股份,0,430590
盈光科技,0,430594
博安通,1,430597
回水科技,0,430603
金鹏源康,0,430606
大树智能,1,430607
中磁视讯,1,430609
瀚远科技,0,430610
腾晖科技,0,430613
星通联华,0,430614
凯立德,1,430618
格纳斯,0,430619
固安信通,0,430621
中天金谷,0,430624
页游科技,0,430627
国科海博,0,430629
合胜科技,0,430630
卡姆医疗,0,430633
ST展唐,0,430635
菱博电子,0,430637
景格科技,0,430638
映翰通,0,430642
蓝科泰达,0,430643
紫贝龙,0,430644
中瑞药业,0,430645
群雁信息,0,430648
绿清科技,0,430649
同望科技,0,430653
聚科照明,0,430654
楼兰股份,0,430657
大陆股份,0,430663
联合永道,0,430664
东芯通信,0,430670
一卡易,0,430671
天佑铁道,0,430673
巴兰仕,0,430674
天跃科技,1,430675
芒冠股份,0,430681
新中德,0,430683
华盛控股,0,430686
华瑞核安,0,430687
麦稻之星,0,430691
杰纳瑞,0,430692
浩海科技,0,430695
宝石金卡,0,430697
同智伟业,0,430704
万惠金科,0,430705
武汉深蓝,0,430709
九五智驾,0,430725
津宇嘉信,0,430726
金格科技,0,430727
万里智能,0,430729
威马股份,0,430732
源渤科技,0,430734
智达康,0,430735
斯达科技,0,430737
全岛互联,0,430744
帛仁旅游,0,430750
赛格微,0,430751
三态股份,1,430754
华曦达,1,430755
天翔昌运,1,430757
四联智能,0,430758
凯路仕,1,430759
爱科迪,0,430763
博锐尚格,0,830766
网虫股份,0,830767
牛商股份,0,830770
华灿电讯,0,830771
远航科技,0,830772
正扬股份,0,830773
百博生物,0,830774
永鹏科技,0,830780
广源精密,1,830783
奥派股份,0,830794
易之景和,0,830797
艾融软件,1,830799
新松医疗,0,830803
蓝山科技,1,830815
致生联发,1,830819
华虹科技,0,830824
永力科技,0,830840
沃迪智能,0,830843
芯邦科技,1,830845
平原智能,0,830849
合矿股份,0,830856
奥特股份,0,830860
金诺科技,0,830861
瑞华天健,0,830863
诚思科技,0,830864
凌志软件,1,830866
XR建策科,0,830868
松宝智能,0,830870
长信畅中,0,830872
金田元丰,0,830874
华盛供水,0,830884
太尔科技,0,830886
吉美思,0,830887
深拓智能,0,830889
海魄科技,0,830890
轩辕网络,0,830891
海迈科技,0,830892
隆玛科技,0,830901
复展科技,0,830903
博思特,0,830904
成聪软件,0,830905
普诺威,0,830908
安证通,0,830910
海赛电装,0,830914
网波股份,1,830917
兆久成,1,830927
康定电子,0,830928
仁会生物,1,830931
北方数据,0,830942
科明数码,0,830943
森萱医药,1,830946
方兰德,0,830952
惠当家,0,830953
佳成科技,0,830957
微步信息,1,830960
圣华农科,0,830961
道一信息,1,830972
电通微电,0,830976
先临三维,1,830978
中易腾达,0,830982
保得威尔,0,830983
德邦工程,0,830984
九星娱乐,0,830986
领意信息,0,830997
银橙传媒,1,830999
飞鱼星,0,831002
金大股份,0,831003
汉咏股份,0,831007
岳能科技,0,831012
海联捷讯,0,831014
华阳密封,0,831020
华雁信息,0,831021
三和视讯,0,831022
中一石科,0,831024
熙浪股份,0,831026
兴致体育,0,831027
卓华信息,1,831030
诚盟装备,0,831031
红光股份,0,831034
宇建科技,0,831038
深远石油,0,831047
天喻软件,0,831050
巴陵节能,0,831054
三优光电,0,831055
千叶药包,0,831056
多普泰,1,831057
中瀛鑫,0,831061
远古信息,0,831062
安泰股份,1,831063
鑫干线,0,831065
北塔软件,0,831071
瑞聚股份,1,831072
瑞恒科技,0,831073
中鼎科技,0,831077
瑞琦科技,0,831079
东润环能,1,831083
绿网天下,1,831084
鑫航科技,0,831093
